timestamp,gesture,confidence,emotion,speech_text
2026-03-26 01:51:18,Thank You,0.91,Happy,You're welcome!
2026-03-26 01:51:22,Thank You,0.63,Neutral,You're welcome!
2026-03-26 01:51:28,Thank You,0.97,Neutral,You're welcome!
2026-03-26 01:51:32,Hello,0.79,Neutral,Hello! Nice to see you.
2026-03-26 01:51:38,Hello,0.81,Neutral,Hello! Nice to see you.
2026-03-26 01:51:49,Sorry,0.82,Neutral,"It's okay, no problem."
2026-03-26 01:51:52,Sorry,0.95,Neutral,"It's okay, no problem."
2026-03-26 01:51:55,Sorry,0.95,Neutral,"It's okay, no problem."
2026-03-26 01:52:00,Please,0.62,Neutral,Please
2026-03-26 01:52:03,Sorry,0.91,Neutral,"It's okay, no problem."
2026-03-26 01:52:06,Sorry,0.87,Neutral,"It's okay, no problem."
2026-03-26 01:52:14,Please,0.73,Neutral,Please
2026-03-26 02:06:15,I Love You,0.77,Neutral,"Aww, that's sweet!"
2026-03-26 02:06:18,Hello,0.94,Neutral,Hello! Nice to see you.
2026-03-26 02:06:22,Hello,0.97,Neutral,Hello! Nice to see you.
2026-03-26 02:06:30,Thank You,0.89,Neutral,You're welcome!
2026-03-26 02:06:42,Thank You,0.89,Neutral,You're welcome!
2026-03-26 02:06:44,Thank You,0.96,Neutral,You're welcome!
2026-03-26 02:07:07,Hello,0.96,Neutral,Hello! Nice to see you.
2026-03-26 02:07:12,Hello,0.8,Neutral,Hello! Nice to see you.
2026-03-26 02:07:18,Good Morning,0.76,Neutral,Good Morning! Have a productive day.
2026-03-26 02:07:28,Hello,0.9,Neutral,Hello! Nice to see you.
2026-03-26 02:12:32,Good Night,0.61,Neutral,Good Night
2026-03-26 02:34:41,Thank You,0.91,Neutral,You're welcome!
2026-03-26 02:34:43,Thank You,0.94,Neutral,You're welcome!
2026-03-26 02:34:47,Hello,0.95,Neutral,Hello! Nice to see you.
2026-03-26 02:34:52,Thank You,0.84,Neutral,You're welcome!
2026-03-26 02:34:55,I Love You,0.91,Neutral,"Aww, that's sweet!"
2026-03-26 02:34:58,I Love You,0.86,Neutral,"Aww, that's sweet!"
2026-03-26 02:35:02,I Love You,0.71,Neutral,"Aww, that's sweet!"
2026-03-26 02:35:05,Yes,0.91,Neutral,Yes
2026-03-26 02:35:07,Yes,0.95,Neutral,Yes
2026-03-26 02:35:10,No,0.81,Neutral,No
2026-03-26 02:35:11,No,0.94,Neutral,No
2026-03-26 02:35:14,Good Morning,0.76,Neutral,Good Morning! Have a productive day.
2026-03-26 02:35:17,Good Night,0.72,Neutral,Good Night
2026-03-26 02:35:22,Sorry,0.7,Neutral,"It's okay, no problem."
2026-03-26 02:35:26,Please,0.7,Neutral,Please
2026-03-26 02:35:28,Please,0.69,Neutral,Please
2026-03-26 02:35:31,Sorry,0.63,Neutral,"It's okay, no problem."
2026-03-26 02:49:12,Thank You,0.87,Neutral,You're welcome!
2026-03-26 02:49:24,Thank You,0.73,Neutral,You're welcome!
2026-03-26 02:49:31,Good Morning,0.83,Neutral,Good Morning! Have a productive day.
2026-03-26 02:49:35,I Love You,0.8,Neutral,"Aww, that's sweet!"
2026-03-26 02:49:39,Good Morning,0.75,Neutral,Good Morning! Have a productive day.
2026-03-26 02:49:43,Good Night,0.67,Neutral,Good Night
2026-03-26 02:49:47,Please,0.86,Neutral,Please
2026-03-26 02:49:53,Hello,0.95,Neutral,Hello! Nice to see you.
2026-03-26 02:49:55,Hello,0.94,Neutral,Hello! Nice to see you.
2026-03-26 02:49:57,Thank You,0.94,Neutral,You're welcome!
2026-03-26 02:50:01,Good Night,0.62,Neutral,Good Night
2026-03-26 02:50:04,Hello,0.83,Neutral,Hello! Nice to see you.
2026-03-26 02:50:06,Hello,0.94,Neutral,Hello! Nice to see you.
2026-03-26 02:50:10,Sorry,0.62,Neutral,"It's okay, no problem."
2026-03-26 02:50:12,Good Morning,0.87,Neutral,Good Morning! Have a productive day.
2026-03-26 02:50:15,Please,0.9,Neutral,Please
2026-03-26 02:50:17,Please,0.93,Neutral,Please
2026-03-26 02:50:19,Sorry,0.64,Neutral,"It's okay, no problem."
2026-03-26 02:50:21,Sorry,0.82,Neutral,"It's okay, no problem."
2026-03-26 02:50:24,Yes,0.66,Neutral,Yes
2026-03-26 02:50:26,No,0.77,Neutral,No
2026-03-26 02:50:28,No,0.87,Neutral,No
2026-03-26 02:50:29,I Love You,0.93,Neutral,"Aww, that's sweet!"
2026-03-26 02:50:37,Good Night,0.6,Neutral,Good Night
2026-03-26 02:50:45,Good Morning,0.62,Neutral,Good Morning! Have a productive day.
2026-03-26 03:01:10,Good Morning,0.61,Neutral,Good Morning! Have a productive day.
2026-03-26 03:15:27,Hello,0.94,Neutral,Hello! Nice to see you.
2026-03-26 03:16:12,Hello,0.75,Neutral,Hello! Nice to see you.
2026-03-26 03:16:16,Good Morning,0.89,Neutral,Good Morning! Have a productive day.
2026-03-26 03:16:20,Good Morning,0.96,Neutral,Good Morning! Have a productive day.
2026-03-26 03:16:24,Hello,0.95,Neutral,Hello! Nice to see you.
2026-03-26 03:16:29,Hello,0.93,Neutral,Hello! Nice to see you.
2026-03-26 03:16:32,Hello,0.96,Neutral,Hello! Nice to see you.
2026-03-26 03:22:30,Hello,0.97,Sad,Hello! Nice to see you.
2026-03-26 03:22:37,Hello,0.95,Sad,Hello! Nice to see you.
2026-03-26 03:22:45,Hello,0.89,Happy,Hello! Nice to see you.
2026-03-26 03:22:50,Hello,0.93,Happy,Hello! Nice to see you.
2026-03-26 03:23:50,Hello,0.68,Neutral,Hello! Nice to see you.
2026-03-26 03:24:05,Hello,0.82,Sad,Hello! Nice to see you.
2026-03-26 03:24:12,Hello,0.94,Happy,Hello! Nice to see you.
2026-03-26 03:24:22,Yes,0.91,Sad,Yes
2026-03-26 03:24:27,Yes,0.9,Happy,Yes
2026-03-26 03:24:29,Yes,0.84,Happy,Yes
2026-03-26 03:24:37,Good Night,0.66,Happy,Good Night
2026-03-26 03:24:40,No,0.86,Happy,No
2026-03-26 03:24:45,Good Morning,0.87,Happy,Good Morning! Have a productive day.
